Date,Open,High,Low,Close,Volume,Adj Close,Change
2014-12-17,1973.77,2016.75,1973.77,2012.89,4912370000,2012.89,0.020352403
2014-12-16,1986.71,2016.89,1972.56,1972.74,4958680000,1972.74,-0.008489016
2014-12-15,2005.03,2018.69,1982.26,1989.63,4361990000,1989.63,-0.006342611
2014-12-12,2030.36,2032.25,2002.33,2002.33,4157650000,2002.33,-0.016213587
2014-12-11,2027.92,2055.53,2027.92,2035.33,3917950000,2035.33,0.004535718
2014-12-10,2058.86,2058.86,2024.26,2026.14,4114440000,2026.14,-0.016350943
2014-12-09,2056.55,2060.6,2034.17,2059.82,3970150000,2059.82,-0.000237828
2014-12-08,2074.84,2075.78,2054.27,2060.31,3800990000,2060.31,-0.007256537
2014-12-05,2072.78,2079.47,2070.81,2075.37,3419620000,2075.37,0.001665122
2014-12-04,2073.64,2077.34,2062.34,2071.92,3408340000,2071.92,-0.001161821
2014-12-03,2067.45,2076.28,2066.65,2074.33,3612680000,2074.33,0.003764729
2014-12-02,2053.77,2068.77,2053.77,2066.55,3686650000,2066.55,0.006384409
2014-12-01,2065.78,2065.78,2049.57,2053.44,4159010000,2053.44,-0.006829306
2014-11-28,2074.78,2075.76,2065.06,2067.56,2504640000,2067.56,-0.002542418
2014-11-26,2067.36,2073.29,2066.62,2072.83,2745260000,2072.83,0.002805958
2014-11-25,2070.15,2074.21,2064.75,2067.03,3392940000,2067.03,-0.001150086
2014-11-24,2065.07,2070.17,2065.07,2069.41,3128060000,2069.41,0.002864066
2014-11-21,2057.46,2071.46,2056.75,2063.5,3916420000,2063.5,0.005236877
2014-11-20,2045.87,2053.84,2040.49,2052.75,3128290000,2052.75,0.001967082
2014-11-19,2051.16,2052.14,2040.37,2048.72,3390850000,2048.72,-0.001501121
2014-11-18,2041.48,2056.08,2041.48,2051.8,3416190000,2051.8,0.005133933
2014-11-17,2038.29,2043.07,2034.46,2041.32,3152890000,2041.32,0.000735359
2014-11-14,2039.74,2042.22,2035.2,2039.82,3227130000,2039.82,0.000240275
2014-11-13,2039.21,2046.18,2030.44,2039.33,3455270000,2039.33,0.000529866
2014-11-12,2037.75,2040.33,2031.95,2038.25,3246650000,2038.25,-0.00070109
2014-11-11,2038.2,2041.28,2035.28,2039.68,2958320000,2039.68,0.000696673
2014-11-10,2032.01,2038.7,2030.17,2038.26,3284940000,2038.26,0.003120202
2014-11-07,2032.36,2034.26,2025.07,2031.92,3704280000,2031.92,0.000349545
2014-11-06,2023.33,2031.61,2015.86,2031.21,3669770000,2031.21,0.003775506
2014-11-05,2015.29,2023.77,2014.42,2023.57,3766590000,2023.57,0.005700512
2014-11-04,2015.81,2015.98,2001.01,2012.1,3956260000,2012.1,-0.002829801
2014-11-03,2018.21,2024.46,2013.68,2017.81,3555440000,2017.81,-0.000118927
2014-10-31,2001.2,2018.19,2001.2,2018.05,4292290000,2018.05,0.011731381
2014-10-30,1979.49,1999.4,1974.75,1994.65,3586150000,1994.65,0.006230137
2014-10-29,1983.29,1991.4,1969.04,1982.3,3740350000,1982.3,-0.001385356
2014-10-28,1964.14,1985.05,1964.14,1985.05,3653260000,1985.05,0.011939051
2014-10-27,1962.97,1964.64,1951.37,1961.63,3538860000,1961.63,-0.001501593
2014-10-24,1951.59,1965.27,1946.27,1964.58,3078380000,1964.58,0.007053444
2014-10-23,1931.02,1961.95,1931.02,1950.82,3789250000,1950.82,0.012303397
2014-10-22,1941.29,1949.31,1926.83,1927.11,3761930000,1927.11,-0.007299308
2014-10-21,1909.38,1942.45,1909.38,1941.28,3987090000,1941.28,0.019574477
2014-10-20,1885.62,1905.03,1882.3,1904.01,3331210000,1904.01,0.009142657
2014-10-17,1864.91,1898.16,1864.91,1886.76,4482120000,1886.76,0.012884107
2014-10-16,1855.95,1876.01,1835.02,1862.76,5073150000,1862.76,0.000144967
2014-10-15,1874.18,1874.18,1820.66,1862.49,6090800000,1862.49,-0.008100336
2014-10-14,1877.11,1898.71,1871.79,1877.7,4812010000,1877.7,0.001578886
2014-10-13,1905.65,1912.09,1874.14,1874.74,4352580000,1874.74,-0.016467922
2014-10-10,1925.63,1936.98,1906.05,1906.13,4550540000,1906.13,-0.011451035
2014-10-09,1967.68,1967.68,1927.56,1928.21,4324020000,1928.21,-0.020661388
2014-10-08,1935.55,1970.36,1925.25,1968.89,4441890000,1968.89,0.01746163
2014-10-07,1962.36,1962.36,1934.87,1935.1,3687870000,1935.1,-0.015126068
2014-10-06,1970.01,1977.84,1958.43,1964.82,3358690000,1964.82,-0.00156512
2014-10-03,1948.12,1971.19,1948.12,1967.9,3561320000,1967.9,0.01116552
2014-10-02,1945.83,1952.32,1926.03,1946.17,4012510000,1946.17,5.13832E-06
2014-10-01,1971.44,1971.44,1941.72,1946.16,4188590000,1946.16,-0.013248559
2014-09-30,1978.21,1985.17,1968.96,1972.29,3951100000,1972.29,-0.002785924
2014-09-29,1978.96,1981.28,1964.04,1977.8,3094440000,1977.8,-0.002546839
2014-09-26,1966.22,1986.37,1966.22,1982.85,2929440000,1982.85,0.008575832
2014-09-25,1997.32,1997.32,1965.99,1965.99,3273050000,1965.99,-0.016168743
2014-09-24,1983.34,1999.79,1978.63,1998.3,3313850000,1998.3,0.007832477
2014-09-23,1992.78,1995.41,1982.77,1982.77,3279350000,1982.77,-0.005776492
2014-09-22,2009.08,2009.08,1991.01,1994.29,3349670000,1994.29,-0.008013331
2014-09-19,2012.74,2019.26,2006.59,2010.4,4880220000,2010.4,-0.000477289
2014-09-18,2003.07,2012.34,2003.07,2011.36,3235340000,2011.36,0.00489116
2014-09-17,1999.3,2010.74,1993.29,2001.57,3209420000,2001.57,0.001295661
2014-09-16,1981.93,2002.28,1979.06,1998.98,3160310000,1998.98,0.007484389
2014-09-15,1986.04,1987.18,1978.48,1984.13,2776530000,1984.13,-0.000710134
2014-09-12,1996.74,1996.74,1980.26,1985.54,3206570000,1985.54,-0.005962602
2014-09-11,1992.85,1997.65,1985.93,1997.45,2941690000,1997.45,0.0008819
2014-09-10,1988.41,1996.66,1982.99,1995.69,2912430000,1995.69,0.003646074
2014-09-09,2000.73,2001.01,1984.61,1988.44,2882830000,1988.44,-0.00654496
2014-09-08,2007.17,2007.17,1995.6,2001.54,2789090000,2001.54,-0.003073153
2014-09-05,1998,2007.71,1990.1,2007.71,2818300000,2007.71,0.005035917
2014-09-04,2001.67,2011.17,1992.54,1997.65,3072410000,1997.65,-0.001534448
2014-09-03,2003.57,2009.28,1998.14,2000.72,2809980000,2000.72,-0.000779112
2014-09-02,2004.07,2006.12,1994.85,2002.28,2819980000,2002.28,-0.000544083
2014-08-29,1998.45,2003.38,1994.65,2003.37,2259130000,2003.37,0.003320412
2014-08-28,1997.42,1998.55,1990.52,1996.74,2282400000,1996.74,-0.001689899
2014-08-27,2000.54,2002.14,1996.2,2000.12,2344350000,2000.12,4.99995E-05
